"","Date","HeldInStorage","Levels","facility"
"1",2022-07-23,25902.333,51.8,"roma"
"2",2022-07-24,25874.953,51.7,"roma"
"3",2022-07-25,25847.069,51.7,"roma"
"4",2022-07-26,25821.342,51.6,"roma"
"5",2022-07-27,25797.75,51.6,"roma"
"6",2022-07-28,25773.048,51.5,"roma"
"7",2022-07-29,25747.601,51.5,"roma"
"8",2022-07-30,25721.584,51.4,"roma"
"9",2022-07-31,25696.309,51.4,"roma"
"10",2022-08-01,25669.414,51.3,"roma"
"11",2022-08-02,25642.772,51.3,"roma"
"12",2022-08-03,25619.189,51.2,"roma"
"13",2022-08-04,25594.546,51.2,"roma"
"14",2022-08-05,25571.478,51.1,"roma"
"15",2022-08-06,25548.303,51.1,"roma"
"16",2022-08-07,25522.524,51,"roma"
"17",2022-08-08,25500.107,51,"roma"
"18",2022-08-09,25473.277,50.9,"roma"
"19",2022-08-10,25448.142,50.9,"roma"
"20",2022-08-11,25422.562,50.8,"roma"
"21",2022-08-12,25397.116,50.8,"roma"
"22",2022-08-13,25371.754,50.7,"roma"
"23",2022-08-14,25348.605,50.7,"roma"
"24",2022-08-15,25325.4,50.7,"roma"
"25",2022-08-16,25318.42,50.6,"roma"
"26",2022-08-17,25295.304,50.6,"roma"
"27",2022-08-18,25276.013,50.6,"roma"
"28",2022-08-19,25245.316,50.5,"roma"
"29",2022-08-20,25220.56,50.4,"roma"
"30",2022-08-21,25196.068,50.4,"roma"
"31",2022-08-22,25171.281,50.3,"roma"
"32",2022-08-23,25144.442,50.3,"roma"
"33",2022-08-24,25117.856,50.2,"roma"
"34",2022-08-25,25090.894,50.2,"roma"
"35",2022-08-26,25064.437,50.1,"roma"
"36",2022-08-27,25037.632,50.1,"roma"
"37",2022-08-28,25010.133,50,"roma"
"38",2022-08-29,24982.502,50,"roma"
"39",2022-08-30,24965.241,49.9,"roma"
"40",2022-08-31,24961.943,49.9,"roma"
"41",2022-09-01,24937.053,49.9,"roma"
"42",2022-09-02,24912.654,49.8,"roma"
"43",2022-09-03,24888.207,49.8,"roma"
"44",2022-09-04,24865.361,49.7,"roma"
"45",2022-09-05,24840.777,49.7,"roma"
"46",2022-09-06,24816.524,49.6,"roma"
"47",2022-09-07,24792.456,49.6,"roma"
"48",2022-09-08,24768.911,49.5,"roma"
"49",2022-09-09,24747.562,49.5,"roma"
"50",2022-09-10,24726.285,49.5,"roma"
"51",2022-09-11,24697.329,49.4,"roma"
"52",2022-09-12,24673.243,49.3,"roma"
"53",2022-09-13,24649.483,49.3,"roma"
"54",2022-09-14,24625.793,49.3,"roma"
"55",2022-09-15,24602.486,49.2,"roma"
"56",2022-09-16,24579.062,49.2,"roma"
"57",2022-09-17,24554.562,49.1,"roma"
"58",2022-09-18,24531.653,49.1,"roma"
"59",2022-09-19,24509.081,49,"roma"
"60",2022-09-20,24488.295,49,"roma"
"61",2022-09-21,24466.987,48.9,"roma"
"62",2022-09-22,24446.211,48.9,"roma"
"63",2022-09-23,24425.558,48.9,"roma"
"64",2022-09-24,24404.944,48.8,"roma"
"65",2022-09-25,24385.814,48.8,"roma"
"66",2022-09-26,24365.297,48.7,"roma"
"67",2022-09-27,24345.629,48.7,"roma"
"68",2022-09-28,24325.288,48.7,"roma"
"69",2022-09-29,24304.99,48.6,"roma"
"70",2022-09-30,24284.75,48.6,"roma"
"71",2022-10-01,24264.505,48.5,"roma"
"72",2022-10-02,24244.352,48.5,"roma"
"73",2022-10-03,24238.889,48.5,"roma"
"74",2022-10-04,24227.024,48.5,"roma"
"75",2022-10-05,24206.803,48.4,"roma"
"76",2022-10-06,24186.556,48.4,"roma"
"77",2022-10-07,24166.625,48.3,"roma"
"78",2022-10-08,24142.774,48.3,"roma"
"79",2022-10-09,24096.161,48.2,"roma"
"80",2022-10-10,24069.916,48.1,"roma"
"81",2022-10-11,24041.629,48.1,"roma"
"82",2022-10-12,24013.406,48,"roma"
"83",2022-10-13,23985.982,48,"roma"
"84",2022-10-14,23961.489,47.9,"roma"
"85",2022-10-15,23938.135,47.9,"roma"
"86",2022-10-16,23912.232,47.8,"roma"
"87",2022-10-17,23889.361,47.8,"roma"
"88",2022-10-18,23881.023,47.8,"roma"
"89",2022-10-19,23860.381,47.7,"roma"
"90",2022-10-20,23834.432,47.7,"roma"
"91",2022-10-21,23808.618,47.6,"roma"
"92",2022-10-22,23783.095,47.6,"roma"
"93",2022-10-23,23757.823,47.5,"roma"
"94",2022-10-24,23732.945,47.5,"roma"
"95",2022-10-25,23713.826,47.4,"roma"
"96",2022-10-26,23694.257,47.4,"roma"
"97",2022-10-27,23660.712,47.3,"roma"
"98",2022-10-28,23636.366,47.3,"roma"
"99",2022-10-29,23612.219,47.2,"roma"
"100",2022-10-30,23588.341,47.2,"roma"
"101",2022-10-31,23554.263,47.1,"roma"
"102",2022-11-01,23530.246,47.1,"roma"
"103",2022-11-02,23557.176,47.1,"roma"
"104",2022-11-03,23526.254,47.1,"roma"
"105",2022-11-04,23501.12,47,"roma"
"106",2022-11-05,23476.859,47,"roma"
"107",2022-11-06,23453.311,46.9,"roma"
"108",2022-11-07,23430.242,46.9,"roma"
"109",2022-11-08,23408.052,46.8,"roma"
"110",2022-11-09,23386.355,46.8,"roma"
"111",2022-11-10,23377.108,46.8,"roma"
"112",2022-11-11,23353.05,46.7,"roma"
"113",2022-11-12,23329.556,46.7,"roma"
"114",2022-11-13,23306.165,46.6,"roma"
"115",2022-11-14,23282.908,46.6,"roma"
"116",2022-11-15,23271.856,46.5,"roma"
"117",2022-11-16,23263.048,46.5,"roma"
"118",2022-11-17,23254.114,46.5,"roma"
"119",2022-11-18,23245.408,46.5,"roma"
"120",2022-11-19,23236.965,46.5,"roma"
"121",2022-11-20,23228.483,46.5,"roma"
"122",2022-11-21,23219.718,46.4,"roma"
"123",2022-11-22,23210.969,46.4,"roma"
"124",2022-11-23,23202.232,46.4,"roma"
"125",2022-11-24,23193.908,46.4,"roma"
"126",2022-11-25,23193.908,46.4,"roma"
"127",2022-11-26,23193.908,46.4,"roma"
"128",2022-11-27,23193.908,46.4,"roma"
"129",2022-11-28,23193.908,46.4,"roma"
"130",2022-11-29,23193.908,46.4,"roma"
"131",2022-11-30,23193.908,46.4,"roma"
"132",2022-12-01,23193.908,46.4,"roma"
"133",2022-12-02,23193.908,46.4,"roma"
"134",2022-12-03,23193.908,46.4,"roma"
"135",2022-12-04,23193.908,46.4,"roma"
"136",2022-12-05,23193.908,46.4,"roma"
"137",2022-12-06,23193.908,46.4,"roma"
"138",2022-12-07,23213.389,46.4,"roma"
"139",2022-12-08,23211.451,46.4,"roma"
"140",2022-12-09,23255.531,46.5,"roma"
"141",2022-12-10,23315.666,46.6,"roma"
"142",2022-12-11,23376.68,46.8,"roma"
"143",2022-12-12,23426.71,46.9,"roma"
"144",2022-12-13,23453.554,46.9,"roma"
"145",2022-12-14,23430.923,46.9,"roma"
"146",2022-12-15,23406.704,46.8,"roma"
"147",2022-12-16,23382.794,46.8,"roma"
"148",2022-12-17,23373.754,46.7,"roma"
"149",2022-12-18,23373.799,46.7,"roma"
"150",2022-12-19,23373.742,46.7,"roma"
"151",2022-12-20,23358.269,46.7,"roma"
"152",2022-12-21,23335.735,46.7,"roma"
"153",2022-12-22,23313.337,46.6,"roma"
"154",2022-12-23,23290.684,46.6,"roma"
"155",2022-12-24,23266.551,46.5,"roma"
"156",2022-12-25,23244.475,46.5,"roma"
"157",2022-12-26,23220.126,46.4,"roma"
"158",2022-12-27,23196.8,46.4,"roma"
"159",2022-12-28,23173.31,46.3,"roma"
"160",2022-12-29,23150.199,46.3,"roma"
"161",2022-12-30,23127.519,46.3,"roma"
"162",2022-12-31,23106.056,46.2,"roma"
"163",2023-01-01,23084.551,46.2,"roma"
"164",2023-01-02,23063.046,46.1,"roma"
"165",2023-01-03,23042.607,46.1,"roma"
"166",2023-01-04,23021.817,46,"roma"
"167",2023-01-05,23031.077,46.1,"roma"
"168",2023-01-06,23081.836,46.2,"roma"
"169",2023-01-07,23187.014,46.4,"roma"
"170",2023-01-08,23186.259,46.4,"roma"
"171",2023-01-09,23186.259,46.4,"roma"
"172",2023-01-10,23171.098,46.3,"roma"
"173",2023-01-11,23145.881,46.3,"roma"
"174",2023-01-12,23124.631,46.2,"roma"
"175",2023-01-13,23102.773,46.2,"roma"
"176",2023-01-14,23081.419,46.2,"roma"
"177",2023-01-15,23076.038,46.2,"roma"
"178",2023-01-16,23049.534,46.1,"roma"
"179",2023-01-17,23026.263,46.1,"roma"
"180",2023-01-18,23004.872,46,"roma"
"181",2023-01-19,22978.479,46,"roma"
"182",2023-01-20,22954.652,45.9,"roma"
"183",2023-01-21,22927.556,45.9,"roma"
"184",2023-01-22,22905.151,45.8,"roma"
"185",2023-01-23,22882.213,45.8,"roma"
"186",2023-01-24,22859.48,45.7,"roma"
"187",2023-01-25,22836.263,45.7,"roma"
"188",2023-01-26,22813.737,45.6,"roma"
"189",2023-01-27,22789.001,45.6,"roma"
"190",2023-01-28,22764.852,45.5,"roma"
"191",2023-01-29,22741.144,45.5,"roma"
"192",2023-01-30,22717.676,45.4,"roma"
"193",2023-01-31,22696.2,45.4,"roma"
"194",2023-02-01,22722.117,45.4,"roma"
"195",2023-02-02,22722.551,45.4,"roma"
"196",2023-02-03,22722.989,45.4,"roma"
"197",2023-02-04,22701.745,45.4,"roma"
"198",2023-02-05,22676.568,45.4,"roma"
"199",2023-02-06,22653.553,45.3,"roma"
"200",2023-02-07,22632.34,45.3,"roma"
"201",2023-02-08,22611.461,45.2,"roma"
"202",2023-02-09,22590.772,45.2,"roma"
"203",2023-02-10,22570.491,45.1,"roma"
"204",2023-02-11,22550.476,45.1,"roma"
"205",2023-02-12,22529.2,45.1,"roma"
"206",2023-02-13,22517.498,45,"roma"
"207",2023-02-14,22495.458,45,"roma"
"208",2023-02-15,22474.165,44.9,"roma"
"209",2023-02-16,22453.16,44.9,"roma"
"210",2023-02-17,22431.86,44.9,"roma"
"211",2023-02-18,22412.316,44.8,"roma"
"212",2023-02-19,22392.614,44.8,"roma"
"213",2023-02-20,22376.827,44.8,"roma"
"214",2023-02-21,22358.602,44.7,"roma"
"215",2023-02-22,22339.143,44.7,"roma"
"216",2023-02-23,22378.237,44.8,"roma"
"217",2023-02-24,22463.273,44.9,"roma"
"218",2023-02-25,22557.666,45.1,"roma"
"219",2023-02-26,22652.138,45.3,"roma"
"220",2023-02-27,22746.657,45.5,"roma"
"221",2023-02-28,22841.263,45.7,"roma"
"222",2023-03-01,22909.952,45.8,"roma"
"223",2023-03-02,23008.895,46,"roma"
"224",2023-03-03,23116.85,46.2,"roma"
"225",2023-03-04,23226.485,46.5,"roma"
"226",2023-03-05,23335.558,46.7,"roma"
"227",2023-03-06,23444.261,46.9,"roma"
"228",2023-03-07,23552.504,47.1,"roma"
"229",2023-03-08,23660.36,47.3,"roma"
"230",2023-03-09,23767.864,47.5,"roma"
"231",2023-03-10,23875.168,47.8,"roma"
"232",2023-03-11,23979.287,48,"roma"
"233",2023-03-12,24079.775,48.2,"roma"
"234",2023-03-13,24184.044,48.4,"roma"
"235",2023-03-14,24289.886,48.6,"roma"
"236",2023-03-15,24395.189,48.8,"roma"
"237",2023-03-16,24500.079,49,"roma"
"238",2023-03-17,24589.404,49.2,"roma"
"239",2023-03-18,24693.22,49.4,"roma"
"240",2023-03-19,24796.066,49.6,"roma"
"241",2023-03-20,24833.543,49.7,"roma"
"242",2023-03-21,24875.335,49.8,"roma"
"243",2023-03-22,24979.098,50,"roma"
"244",2023-03-23,25073.448,50.1,"roma"
"245",2023-03-24,25167.902,50.3,"roma"
"246",2023-03-25,25235.86,50.5,"roma"
"247",2023-03-26,25302.01,50.6,"roma"
"248",2023-03-27,25342.35,50.7,"roma"
"249",2023-03-28,25427.852,50.9,"roma"
"250",2023-03-29,25528.126,51.1,"roma"
"251",2023-03-30,25587.064,51.2,"roma"
"252",2023-03-31,25564.673,51.1,"roma"
"253",2023-04-01,25564.673,51.1,"roma"
"254",2023-04-02,25528.677,51.1,"roma"
"255",2023-04-03,25491.611,51,"roma"
"256",2023-04-04,25456.798,50.9,"roma"
"257",2023-04-05,25524.723,51,"roma"
"258",2023-04-06,25613.076,51.2,"roma"
"259",2023-04-07,25578.264,51.2,"roma"
"260",2023-04-08,25542.495,51.1,"roma"
"261",2023-04-09,25507.038,51,"roma"
"262",2023-04-10,25462.99,50.9,"roma"
"263",2023-04-11,25429.66,50.9,"roma"
"264",2023-04-12,25394.591,50.8,"roma"
"265",2023-04-13,25359.319,50.7,"roma"
"266",2023-04-14,25316.248,50.6,"roma"
"267",2023-04-15,25265.365,50.5,"roma"
"268",2023-04-16,25216.659,50.4,"roma"
"269",2023-04-17,25168.132,50.3,"roma"
"270",2023-04-18,25081.827,50.2,"roma"
"271",2023-04-19,25037.5,50.1,"roma"
"272",2023-04-20,25013.752,50,"roma"
"273",2023-04-21,24989.261,50,"roma"
"274",2023-04-22,24988.441,50,"roma"
"275",2023-04-23,24988.438,50,"roma"
"276",2023-04-24,24890.606,49.8,"roma"
"277",2023-04-25,24890.606,49.8,"roma"
"278",2023-04-26,24941.169,49.9,"roma"
"279",2023-04-27,25006.028,50,"roma"
"280",2023-04-28,25079.696,50.2,"roma"
"281",2023-04-29,25032.77,50.1,"roma"
"282",2023-04-30,24994.742,50,"roma"
"283",2023-05-01,24948.629,49.9,"roma"
"284",2023-05-02,24901.816,49.8,"roma"
"285",2023-05-03,24900.053,49.8,"roma"
"286",2023-05-04,24894.684,49.8,"roma"
"287",2023-05-05,24889.303,49.8,"roma"
"288",2023-05-06,24850.217,49.7,"roma"
"289",2023-05-07,24804.314,49.6,"roma"
"290",2023-05-08,24757.643,49.5,"roma"
"291",2023-05-09,24708.01,49.4,"roma"
"292",2023-05-10,24664.421,49.3,"roma"
"293",2023-05-11,24619.224,49.2,"roma"
"294",2023-05-12,24574.924,49.1,"roma"
"295",2023-05-13,24532.66,49.1,"roma"
"296",2023-05-14,24488.465,49,"roma"
"297",2023-05-15,24445.232,48.9,"roma"
"298",2023-05-16,24402.877,48.8,"roma"
"299",2023-05-17,24360.525,48.7,"roma"
"300",2023-05-18,24318.21,48.6,"roma"
"301",2023-05-19,24277.117,48.6,"roma"
"302",2023-05-20,24236.61,48.5,"roma"
"303",2023-05-21,24197.377,48.4,"roma"
"304",2023-05-22,24158.761,48.3,"roma"
"305",2023-05-23,24119.759,48.2,"roma"
"306",2023-05-24,24081.371,48.2,"roma"
"307",2023-05-25,24046.544,48.1,"roma"
"308",2023-05-26,24008.87,48,"roma"
"309",2023-05-27,23971.371,47.9,"roma"
"310",2023-05-28,23934.765,47.9,"roma"
"311",2023-05-29,23898.886,47.8,"roma"
"312",2023-05-30,23863.021,47.7,"roma"
"313",2023-05-31,23923.884,47.8,"roma"
"314",2023-06-01,23995.275,48,"roma"
"315",2023-06-02,24086.603,48.2,"roma"
"316",2023-06-03,24178.019,48.4,"roma"
"317",2023-06-04,24269.391,48.5,"roma"
"318",2023-06-05,24340.738,48.7,"roma"
"319",2023-06-06,24410.765,48.8,"roma"
"320",2023-06-07,24507.247,49,"roma"
"321",2023-06-08,24618.528,49.2,"roma"
"322",2023-06-09,24728.938,49.5,"roma"
"323",2023-06-10,24838.765,49.7,"roma"
"324",2023-06-11,24948.191,49.9,"roma"
"325",2023-06-12,25057.138,50.1,"roma"
"326",2023-06-13,25165.629,50.3,"roma"
"327",2023-06-14,25273.47,50.5,"roma"
"328",2023-06-15,25380.876,50.8,"roma"
"329",2023-06-16,25487.76,51,"roma"
"330",2023-06-17,25594.248,51.2,"roma"
"331",2023-06-18,25678.338,51.4,"roma"
"332",2023-06-19,25782.983,51.6,"roma"
"333",2023-06-20,25888.757,51.8,"roma"
"334",2023-06-21,25994.534,52,"roma"
"335",2023-06-22,26099.896,52.2,"roma"
"336",2023-06-23,26204.723,52.4,"roma"
"337",2023-06-24,26309.14,52.6,"roma"
"338",2023-06-25,26406.028,52.8,"roma"
"339",2023-06-26,26404.405,52.8,"roma"
"340",2023-06-27,26401.696,52.8,"roma"
"341",2023-06-28,26443.395,52.9,"roma"
"342",2023-06-29,26545.385,53.1,"roma"
"343",2023-06-30,26645.769,53.3,"roma"
"344",2023-07-01,26745.548,53.5,"roma"
"345",2023-07-02,26844.805,53.7,"roma"
"346",2023-07-03,26944.383,53.9,"roma"
"347",2023-07-04,27043.03,54.1,"roma"
"348",2023-07-05,27140.817,54.3,"roma"
"349",2023-07-06,27237.968,54.5,"roma"
"350",2023-07-07,27334.126,54.7,"roma"
"351",2023-07-08,27429.132,54.9,"roma"
"352",2023-07-09,27523.681,55,"roma"
"353",2023-07-10,27617.203,55.2,"roma"
"354",2023-07-11,27711.442,55.4,"roma"
"355",2023-07-12,27712.369,55.4,"roma"
"356",2023-07-13,27712.369,55.4,"roma"
"357",2023-07-14,27712.369,55.4,"roma"
"358",2023-07-15,27712.369,55.4,"roma"
"359",2023-07-16,27712.369,55.4,"roma"
"360",2023-07-17,27712.369,55.4,"roma"
"361",2023-07-18,27715.799,55.4,"roma"
"362",2023-07-19,27720.361,55.4,"roma"
"363",2023-07-20,27720.361,55.4,"roma"
"364",2023-07-21,27720.361,55.4,"roma"
"365",2023-07-22,27720.361,55.4,"roma"
